Date,Rk,Player,Tm,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Prob%
2019-01-22,1,Giannis Antetokounmpo,MIL,33,12,.733,42,42,33.0,9.8,16.9,.581,0.4,2.3,.175,9.4,14.5,.645,.593,6.4,9.1,.700,2.3,10.2,12.5,6.0,1.4,1.5,4.0,3.3,26.4,35.5%
2019-01-22,2,James Harden,HOU,26,19,.578,42,42,37.4,10.3,23.5,.439,4.9,13.1,.376,5.4,10.4,.518,.544,10.1,11.7,.863,0.8,5.5,6.4,8.5,2.1,0.6,5.6,3.5,35.7,20.7%
2019-01-22,3,Kawhi Leonard,TOR,35,13,.729,36,36,35.0,9.6,19.1,.504,1.8,4.8,.368,7.9,14.3,.550,.550,6.6,7.7,.853,1.4,6.5,7.9,3.1,1.9,0.5,2.0,1.5,27.6,8.3%
2019-01-22,4,Anthony Davis,NOP,21,25,.457,41,41,37.0,10.5,20.6,.508,1.0,3.0,.325,9.5,17.6,.539,.532,7.4,9.1,.812,3.4,9.9,13.3,4.4,1.7,2.6,2.0,2.6,29.3,8.2%
2019-01-22,5,Kevin Durant,GSW,32,14,.696,46,46,35.6,9.7,19.1,.509,2.0,5.2,.384,7.7,13.9,.555,.561,6.7,7.4,.906,0.5,6.9,7.4,6.0,0.8,1.1,3.3,2.0,28.1,7.1%
2019-01-22,6,Stephen Curry,GSW,32,14,.696,35,35,34.4,9.9,20.1,.492,5.3,11.8,.454,4.6,8.4,.546,.625,4.6,5.0,.925,0.7,4.5,5.2,5.4,1.2,0.4,2.9,2.6,29.8,6.5%
2019-01-22,7,Nikola Jokic,DEN,31,14,.689,45,45,31.0,7.4,14.7,.505,1.2,3.6,.323,6.2,11.1,.563,.544,3.7,4.4,.842,2.8,7.3,10.0,7.7,1.3,0.7,3.2,2.8,19.6,5.8%
2019-01-22,8,Joel Embiid,PHI,30,17,.638,44,44,33.5,9.0,18.3,.490,1.2,3.9,.306,7.8,14.4,.540,.523,7.8,9.8,.800,2.3,10.9,13.2,3.6,0.5,2.0,3.5,3.3,27.0,3.6%
2019-01-22,9,LeBron James,LAL,25,22,.532,34,34,34.6,10.0,19.3,.518,2.0,5.6,.356,8.0,13.7,.585,.570,5.3,7.8,.682,0.9,7.4,8.3,7.1,1.3,0.7,3.4,1.6,27.3,2.3%
2019-01-22,10,Paul George,OKC,27,18,.600,44,44,36.0,9.0,20.4,.442,3.4,8.9,.386,5.6,11.5,.485,.526,5.3,6.3,.834,1.5,6.5,8.0,4.0,2.3,0.5,2.7,2.8,26.7,1.9%
